violation_description;fine_min;fine_max;subject_type;law_reference;
Không có bảo hiểm trách nhiệm dân sự của chủ xe cơ giới;5000000;9000000;Ô tô;"Điểm n, Khoản 2, Điều 11 Nghị định 100/2019/NĐ-CP";
Chuyển làn không có tín hiệu báo trước;400000;1200000;Xe máy;"Điểm g, Khoản 10, Điều 5 Nghị định 100/2019/NĐ-CP";
Điều khiển xe chạy quá tốc độ quy định từ 10 km/h đến 10 km/h;3400000;3800000;Xe máy;"Điểm l, Khoản 5, Điều 10 Nghị định 123/2021/NĐ-CP";
Sử dụng điện thoại di động khi đang điều khiển xe;4000000;8000000;Ô tô;"Điểm k, Khoản 2, Điều 5 Nghị định 100/2019/NĐ-CP";
Chuyển làn không có tín hiệu báo trước;400000;800000;Xe đạp điện;"Điểm d, Khoản 9, Điều 11 Nghị định 100/2019/NĐ-CP";
Chở quá số người quy định;5000000;8000000;Ô tô;"Điểm f, Khoản 6, Điều 10 Nghị định 123/2021/NĐ-CP";
Không chấp hành hiệu lệnh của biển báo hiệu;7000000;9000000;Ô tô;"Điểm l, Khoản 2, Điều 6 Nghị định 100/2019/NĐ-CP";
Không chấp hành hiệu lệnh của vạch kẻ đường;9000000;13000000;Ô tô;"Điểm d, Khoản 6, Điều 9 Nghị định 123/2021/NĐ-CP";
Chuyển làn không có tín hiệu báo trước;2000000;2600000;Xe máy;"Điểm f, Khoản 2, Điều 10 Nghị định 100/2019/NĐ-CP";
Sử dụng điện thoại di động khi đang điều khiển xe;7000000;11000000;Ô tô;"Điểm c, Khoản 5, Điều 11 Nghị định 123/2021/NĐ-CP";
"Nồng độ cồn trong máu hoặc hơi thở vượt quá quy định nhưng chưa tới mức 0,25 miligam/1 lít khí thở";100000;200000;Xe đạp điện;"Điểm b, Khoản 8, Điều 5 Nghị định 123/2021/NĐ-CP";
"Dừng xe, đỗ xe tại nơi có biển cấm dừng, cấm đỗ";500000;600000;Xe đạp điện;"Điểm k, Khoản 2, Điều 12 Nghị định 123/2021/NĐ-CP";
