title;total_accidents;deaths;injuries;;;;;;
TỔNG SỐ;22067;11628;15292;;;;;;
Đồng bằng sông Hồng;5205;2593;3596;;;;;;
Hà Nội;1248;710;823;;;;;;
Vĩnh Phúc;313;157;250;;;;;;
Bắc Ninh;495;231;329;;;;;;
Quảng Ninh;431;222;336;;;;;;
Hải Dương;430;212;286;;;;;;
Hải Phòng;538;260;395;;;;;;
Hưng Yên;600;176;419;;;;;;
Thái Bình;363;210;199;;;;;;
Hà Nam;282;138;222;;;;;;
Nam Định;320;175;202;;;;;;
Ninh Bình;185;102;135;;;;;;
Trung du và miền núi phía Bắc;2805;1244;2514;;;;;;
Hà Giang;90;66;77;;;;;;
Cao Bằng;171;38;190;;;;;;
Bắc Kạn;68;30;76;;;;;;
Tuyên Quang;167;55;141;;;;;;
Lào Cai;177;63;209;;;;;;
Yên Bái;143;56;139;;;;;;
Thái  Nguyên;423;125;363;;;;;;
Lạng Sơn;278;105;272;;;;;;
Bắc Giang;390;230;224;;;;;;
Phú Thọ;339;202;268;;;;;;
Điện Biên;103;21;109;;;;;;
Lai Châu;52;23;55;;;;;;
Sơn La;168;122;184;;;;;;
Hòa Bình;236;108;207;;;;;;
Bắc Trung Bộ và Duyên hải miền Trung;5843;2644;4463;;;;;;
Thanh Hóa;894;419;766;;;;;;
Nghệ An;418;252;302;;;;;;
Hà Tĩnh;357;190;221;;;;;;
Quảng Bình;219;115;153;;;;;;
Quảng Trị;209;88;171;;;;;;
Thừa Thiên-Huế;648;117;493;;;;;;
Đà Nẵng;552;111;510;;;;;;
Quảng  Nam;354;195;279;;;;;;
Quảng  Ngãi;341;162;286;;;;;;
Bình Định;533;269;404;;;;;;
Phú Yên;252;153;184;;;;;;
Khánh  Hòa;360;254;156;;;;;;
Ninh  Thuận;213;87;201;;;;;;
Bình Thuận;493;232;337;;;;;;
Tây Nguyên;1436;959;850;;;;;;
Kon Tum;131;108;111;;;;;;
Gia Lai;410;265;263;;;;;;
Đắk Lắk;283;234;134;;;;;;
Đắk Nông;125;83;67;;;;;;
Lâm Đồng;487;269;275;;;;;;
Đông Nam Bộ;4374;2479;2587;;;;;;
Bình Phước;335;226;154;;;;;;
Tây Ninh;331;273;116;;;;;;
Bình  Dương;821;517;593;;;;;;
Đồng Nai;692;569;326;;;;;;
Bà Rịa - Vũng Tàu;463;231;349;;;;;;
TP. Hồ Chí Minh;1732;663;1049;;;;;;
Đồng bằng sông Cửu Long;2398;1707;1282;;;;;;
Long An;348;245;168;;;;;;
Tiền Giang;320;233;147;;;;;;
Bến Tre;132;113;29;;;;;;
Trà Vinh;119;104;57;;;;;;
Vĩnh Long;145;126;83;;;;;;
Đồng Tháp;186;157;85;;;;;;
An Giang;226;160;122;;;;;;
Kiên  Giang;152;80;130;;;;;;
Cần Thơ;249;155;120;;;;;;
Hậu Giang;190;114;120;;;;;;
Sóc Trăng;194;128;137;;;;;;
Bạc Liêu;76;58;35;;;;;;
Cà Mau;61;34;49;;;;;;
Khác;6;2;655;;;;;;
