title;total_accidents;deaths;injuries;;;
TỔNG SỐ;23667;11101;17424;;;
Đồng bằng sông Hồng;5647;2614;4323;;;
Hà Nội;1488;701;1192;;;
Vĩnh Phúc;322;169;280;;;
Bắc Ninh;412;185;251;;;
Quảng Ninh;532;248;464;;;
Hải Dương;710;238;599;;;
Hải Phòng;497;224;366;;;
Hưng Yên;540;204;452;;;
Thái Bình;365;212;203;;;
Hà Nam;295;150;220;;;
Nam Định;292;180;164;;;
Ninh Bình;194;103;132;;;
Trung du và miền núi phía Bắc;3301;1204;2854;;;
Hà Giang;80;67;42;;;
Cao Bằng;143;37;162;;;
Bắc Kạn;83;31;90;;;
Tuyên Quang;172;66;143;;;
Lào Cai;224;71;210;;;
Yên Bái;157;73;141;;;
Thái  Nguyên;715;116;719;;;
Lạng Sơn;491;103;443;;;
Bắc Giang;335;195;190;;;
Phú Thọ;352;177;230;;;
Điện Biên;97;30;101;;;
Lai Châu;63;24;60;;;
Sơn La;155;100;136;;;
Hòa Bình;234;114;187;;;
Bắc Trung Bộ và Duyên hải miền Trung;8785;4254;6694;;;
Thanh Hóa;893;406;720;;;
Nghệ An;364;208;244;;;
Hà Tĩnh;402;226;237;;;
Quảng Bình;196;112;127;;;
Quảng Trị;209;109;152;;;
Thừa Thiên-Huế;439;120;345;;;
Đà Nẵng;571;135;528;;;
Quảng  Nam;399;169;332;;;
Quảng  Ngãi;376;179;313;;;
Bình Định;467;223;336;;;
Phú Yên;255;145;167;;;
Khánh  Hòa;425;226;276;;;
Ninh  Thuận;275;86;296;;;
Bình Thuận;600;192;517;;;
Tây Nguyên;1687;947;1247;;;
Kon Tum;140;105;101;;;
Gia Lai;494;299;338;;;
Đắk Lắk;439;287;308;;;
Đắk Nông;154;80;110;;;
Lâm Đồng;460;176;390;;;
Đông Nam Bộ;4182;2110;2460;;;
Bình Phước;374;254;208;;;
Tây Ninh;418;253;248;;;
Bình  Dương;870;427;592;;;
Đồng Nai;679;503;306;;;
Bà Rịa - Vũng Tàu;402;195;274;;;
TP. Hồ Chí Minh;1439;478;832;;;
Đồng bằng sông Cửu Long;2975;1687;1949;;;
Long An;333;212;178;;;
Tiền Giang;338;221;201;;;
Bến Tre;159;139;25;;;
Trà Vinh;301;88;296;;;
Vĩnh Long;164;97;139;;;
Đồng Tháp;384;259;221;;;
An Giang;257;158;111;;;
Kiên  Giang;151;81;97;;;
Cần Thơ;258;156;168;;;
Hậu Giang;177;75;129;;;
Sóc Trăng;290;122;251;;;
Bạc Liêu;106;52;92;;;
Cà Mau;57;27;41;;;
Khác;4;3;1;;;
;;;;;;
;;;;;;
;;;;;;
